ID,Gender,PE,EE,SI,FC,HM,BI,UB
186,Female,-1.039,-0.941,-0.517,-0.268,-0.328,-1.011,-1.316
187,Male,0.627,2.371,1.48,0.927,0.969,1.561,0.69
188,Female,0.006,0.806,1.327,0.032,-0.948,0.458,0.638
189,Female,0.451,0.715,-0.866,-2.004,-0.369,-1.035,-0.037
190,Male,0.037,1.097,0.73,1.693,-0.804,0.418,-0.852
191,Male,0.535,2.895,1.219,1.942,1.545,0.671,-0.412
192,Female,0.184,-1.988,-1.453,-0.492,-2.142,-1.411,-1.494
193,Male,1.527,0.135,1.1,0.966,2.07,1.532,0.322
194,Female,0.285,0.132,1.086,0.223,1.362,0.275,0.067
195,Female,0.235,-0.039,-1.267,-0.113,-0.969,-0.421,-0.503
196,Male,-1.652,0.773,-0.738,-0.748,-0.375,-0.858,-0.9
197,Female,1.664,0.639,0.273,0.592,0.066,0.354,0.248
198,Female,-0.491,0.08,-0.352,0.419,0.67,-0.109,0.975
199,Male,-1.21,0.44,-2.543,-0.8,-1.704,-3.033,-2.268
200,Female,-1.529,-2.689,-1.094,-1.527,-1.053,-1.701,-0.601
201,Male,1.456,0.139,0.871,2.404,1.196,1.823,0.482
202,Male,-0.382,-0.552,-0.731,-0.842,-2.046,-0.638,0.099
203,Male,0.605,-0.085,0.452,-0.611,0.631,-0.128,0.288
204,Female,0.155,0.537,0.667,1.354,0.651,,-0.059
205,Male,0.24,0.009,-0.249,-0.099,-0.334,-0.108,0.548
206,Male,-0.134,-1.359,-0.701,1.189,0.79,1.046,1.509
207,Male,0.274,0.991,0.057,-0.743,0.815,1.263,0.827
208,Female,-0.483,-1.068,-0.43,-0.102,-0.886,-0.624,-1.207
209,Male,-0.898,-0.667,-0.219,-1.259,-1.576,-1.071,-1.836
210,Male,-0.656,-0.208,0.927,-0.502,0.27,0.637,-0.433
211,Female,0.156,-0.082,0.338,-0.59,0.469,0.282,-0.27
212,Male,1.009,2.019,-0.237,0.85,0.599,0.501,0.048
213,Male,0.764,-1.531,-1.676,-0.337,0.944,0.204,0.157
214,Female,1.453,1.584,0.29,1.259,0.467,1.113,1.408
215,Male,-0.079,0.331,-0.21,-1.165,0.418,0.439,0.274
216,Male,0.836,0.878,-0.294,0.621,0.324,-0.595,-0.245
217,Male,-0.465,-1.595,-0.464,-1.256,0.039,-0.592,-0.769
218,Female,-1.163,-0.44,0.444,-0.258,-2.268,-1.064,-0.741
219,Female,0.314,-1.071,-1.081,-0.534,-1.28,1.012,0.575
220,Male,1.413,1,0.703,1.106,1.389,0.917,1.767
221,Female,-1.053,1.063,-2.214,-1.673,-2.451,-2.077,-1.069
222,Female,0.705,0.079,-0.746,-1.15,0.09,-0.244,-0.196
223,Female,-0.734,-1.011,-0.725,-1.168,-1.735,-1.538,-0.986
224,Female,0.548,-0.372,0.531,1.05,-0.752,0.805,1.47
225,Female,-0.52,0.406,1.237,1.424,-0.504,-0.32,-0.598
226,Male,0.708,-1.058,0.056,0.896,1.252,0.755,1.57
227,Male,1.303,0.105,0.06,-0.832,0.555,0.37,-0.356
228,Male,0.78,-0.392,1.726,0.03,0.242,0.365,0.719
229,Female,0.918,1.788,-1.232,0.843,-0.132,0.032,1.066
230,Male,0.324,-1.419,0.199,1.135,-1.019,0.014,-1.078
231,Female,-0.229,-1.384,-0.986,-0.379,-1.235,-1.285,0.569
232,Male,0.458,1.703,-0.979,-0.268,1.425,-0.41,-0.03
233,Female,0.769,-1.831,1.042,0.492,0.185,1.23,0.288
234,Female,1.401,-0.351,2.043,1.274,0.742,0.992,1.334
235,Male,0.667,0.914,-1.068,1.34,-0.22,-1.606,0.002
236,Male,-1.9,-1.353,0.508,0.537,-0.01,-2.032,0.324
237,Female,0.037,-0.018,-0.269,-0.463,-0.569,-0.469,-0.272
238,Male,-0.322,-0.377,-0.621,0.625,0.196,0.725,0.47
239,Male,-0.91,-0.04,1.536,-0.716,0.125,-0.149,0.186
240,Male,0.713,-0.251,-0.551,-0.221,0.945,0.109,-1.077
241,Male,-0.327,-0.903,0.396,0.098,0.553,0.627,0.002
242,Female,-0.989,-1.778,0.74,-0.175,0.114,-1.181,-1.523
243,Female,0.82,0.352,1.62,0.93,-0.852,0.201,-0.046
244,Male,-0.549,-0.268,-0.096,-0.153,0.471,-0.377,-0.353
245,Male,0.682,0.638,0.188,0.631,-0.464,-0.379,-0.031
246,Male,0.254,0.158,1.432,0.845,1.115,0.679,1.348
247,Female,0.052,-0.607,0.922,0.568,0.197,0.111,1.092
248,Male,0.736,2.293,0.909,2.052,0.808,1.488,1.977
249,Female,-0.917,-0.48,-0.928,-1.549,-0.916,-1.21,-0.076
250,Male,-0.685,-1.248,-0.457,0.573,1.203,-0.091,-0.442
251,Male,1.476,-1.065,0.402,0.722,-0.291,1.278,1.112
252,Female,1.274,0.972,0.594,0.877,0.646,2.069,1.606
253,Female,0.971,0.084,-0.697,0.829,1.693,0.917,2.097
254,Female,0.452,-0.603,1.365,0.567,1.693,1.376,0.906
255,Female,-1.048,-0.923,1.228,-0.559,0.549,0.028,0.115
256,Female,-0.01,1.033,-1.287,-0.411,-0.054,-0.44,-1.398
257,Male,-1.718,-0.501,-1.992,-1.511,-0.816,-1.495,-1.255
258,Female,0.424,1.186,0.52,0.487,0.955,0.803,0.99
259,Male,-0.79,0.274,-0.344,-1.361,0.032,-1.757,-2.035
260,Male,0.51,-0.425,-1.578,-0.925,-1.911,-0.615,0.047
261,Female,-0.151,-0.891,-1.835,-0.403,0.237,-0.899,-0.396
262,Female,-0.975,0.065,-0.016,1.337,0.869,0.053,0.763
263,Male,-1.408,-0.797,-0.262,-2.049,-0.646,-0.037,-0.279
264,Female,0.486,-0.186,-0.43,0.11,1.835,0.579,1.355
265,Male,-0.554,-1.277,-0.887,-2.436,-1.379,-1.357,-0.754
266,Female,1.127,0.646,1.124,1.466,0.357,1.727,2.726
267,Female,-1.886,0.273,1.491,-0.938,-0.798,-0.726,-0.272
268,Male,-0.606,1.735,0.579,0.11,0.834,-0.053,-0.142
269,Male,-0.048,0.534,1.261,0.567,-0.349,0.29,0.609
270,Male,0.092,0.942,-0.209,-1.03,-0.947,-0.478,-0.89
271,Male,1.262,0.393,1.402,1.749,0.624,2.07,1.754
272,Female,-2.228,-0.993,-0.916,0.47,-1.358,-0.802,-0.156
273,Female,1.199,0.12,-0.641,0.208,0.362,0.987,0.341
274,Male,-1.928,-0.414,-0.543,-1.159,-0.215,-1.281,-1.563
275,Male,1.344,0.126,0.282,-1.169,0.862,0.329,-0.459
276,Female,0.962,-0.372,0.924,-0.101,1.971,0.59,0.587
277,Female,-0.478,-0.575,-0.373,1.072,0.229,-0.21,1.169
278,Male,-0.474,1.34,-1.583,-0.382,0.927,-0.027,-0.365
279,Male,0.077,-0.613,0.924,-0.382,-0.377,-1.508,-0.487
280,Female,-0.461,-0.225,-0.659,-0.177,0.123,-0.303,-0.523
281,Male,-0.6,0.492,0.15,0.708,-0.952,-0.718,-0.762
282,Female,-1.017,1.227,1.648,-1.69,0.438,0.479,-0.198
283,Male,0.292,0.436,-2.078,-0.817,0.147,-0.93,-0.601
284,Male,0.853,0.091,0.169,0.511,0.541,0.488,1.462
285,Male,0.938,-0.639,-1.281,0.793,0.008,-0.134,-0.543
286,Male,-0.276,0.322,0.709,1.255,-0.273,0.245,-0.346
287,Female,1.884,0.792,-1.711,-1.329,-0.209,0.137,-0.249
288,Male,-0.792,-0.625,-0.831,-0.599,-0.413,-0.515,-0.216
289,Female,-0.613,0.125,-0.266,-0.972,-0.117,0.053,-0.886
290,Male,-0.065,0.607,1.741,-0.389,-0.357,-0.126,-0.83
291,Male,-0.665,-1.189,1.555,1.701,-0.586,-0.111,0.86
292,Female,0.072,-0.698,-0.892,1.38,0.947,0.996,0.364
293,Male,-0.961,-0.358,-0.91,-1.385,-1.883,-1.085,-0.974
294,Male,0.412,-0.482,0.672,1.22,-1.024,0.285,1.411
295,Male,-1.29,0.952,-0.301,-1.939,-0.079,-0.53,-1.562
296,Male,0.009,0.475,0.974,0.09,0.486,0.803,0.55
297,Male,-0.477,-1.212,0.079,-1.043,-0.657,-0.471,-1.831
298,Female,-1.159,1.038,-0.904,-0.042,-1.003,-0.674,0.635
299,Female,0.31,-0.744,0.716,0.08,-1.162,-0.553,-0.686
300,Male,0.698,0.351,0.027,1.131,-1.277,0.219,-0.114
301,Male,0.588,0.36,0.086,-0.374,-0.599,0.272,1.006
302,Male,-0.019,-0.984,-1.014,-0.096,0.102,-0.335,-0.058
303,Male,-0.197,0.819,-0.412,-0.145,0.91,-0.1,-0.598
304,Female,-0.49,1.468,0.825,-0.157,-2.175,-0.261,-0.348
305,Male,2.106,0.953,0.328,0.859,1.071,1.598,1.723
306,Male,0.456,-0.993,0.723,-0.999,-0.015,0.609,0.548
307,Female,0.861,0.312,0.336,1.736,1.366,0.379,-1.221
308,Female,-0.207,-0.136,-0.978,-0.357,-0.326,-0.746,-0.148
309,Female,-1.962,1.598,-1.45,-0.889,-0.9,-1.39,-0.363
310,Female,-0.287,-2.014,0.252,-0.578,-0.328,-1.505,-1.393
311,Female,-1.756,-1.33,-0.045,-1.034,0.212,-0.359,-0.92
312,Female,0.255,-0.835,1.182,0.874,1.477,1.651,1.467
313,Male,-0.831,-1.152,-1.111,-0.603,0.091,-0.814,-0.745
314,Female,0.045,0.746,0.386,0.058,0.116,0.258,-0.459
315,Male,0.905,1.856,1.308,1.06,0.176,1.969,1.158
316,Male,-0.209,0.69,-1.711,0.89,0.293,-0.404,-0.111
317,Female,0.219,-0.317,0.98,0.545,0.021,0.87,0.464
318,Male,0.135,-1.221,-2.578,-1.523,1.274,-0.97,-1.438
319,Female,-0.154,-0.159,-0.062,-0.62,0.123,-0.15,-0.916
320,Male,1.233,1.669,1.605,1.803,1.496,2.974,3.18
